Ocupação;Quantitativo;Porcentagem;Data de carga
Publicitário;548;0,0011;2023-03-13 15:28:45
Químico;129;0,0003;2023-03-13 15:28:45
Recepcionista;916;0,0018;2023-03-13 15:28:45
Relações-Públicas;111;0,0002;2023-03-13 15:28:45
Relojoeiro e Montador de Instrumento de Precisão;28;0,0001;2023-03-13 15:28:45
Representante Comercial;1656;0,0033;2023-03-13 15:28:45
Sacerdote ou Membro de Ordem ou Seita Religiosa;773;0,0016;2023-03-13 15:28:45
Salva-Vidas;28;0,0001;2023-03-13 15:28:45
Secretário e Datilógrafo;1397;0,0028;2023-03-13 15:28:45
Securitário;75;0,0002;2023-03-13 15:28:45
Senador;2;0;2023-03-13 15:28:45
Serralheiro;682;0,0014;2023-03-13 15:28:45
Serventuário de Justiça;173;0,0003;2023-03-13 15:28:45
Servidor Público Civil Aposentado;1967;0,004;2023-03-13 15:28:45
Servidor Público Estadual;5970;0,012;2023-03-13 15:28:45
Servidor Público Federal;1782;0,0036;2023-03-13 15:28:45
Servidor Público Municipal;32012;0,0644;2023-03-13 15:28:45
Servidor da Justiça Eleitoral;17;0;2023-03-13 15:28:45
Sociólogo;95;0,0002;2023-03-13 15:28:45
Supervisor, Inspetor e Agente de Compras e Vendas;581;0,0012;2023-03-13 15:28:45
Tabelião;69;0,0001;2023-03-13 15:28:45
Tapeceiro;105;0,0002;2023-03-13 15:28:45
Taquígrafo e Estenógrafo;4;0;2023-03-13 15:28:45
Taxista;1799;0,0036;2023-03-13 15:28:45
Telefonista;186;0,0004;2023-03-13 15:28:45
Terapeuta;107;0,0002;2023-03-13 15:28:45
Torneiro Mecânico;193;0,0004;2023-03-13 15:28:45
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;140;0,0003;2023-03-13 15:28:45
Trabalhador Florestal;72;0,0001;2023-03-13 15:28:45
Trabalhador Metalúrgico e Siderúrgico;474;0,001;2023-03-13 15:28:45
Trabalhador Rural;7973;0,016;2023-03-13 15:28:45
Trabalhador de Artes Gráficas;92;0,0002;2023-03-13 15:28:45
Trabalhador de Construção Civil;4350;0,0088;2023-03-13 15:28:45
Trabalhador de Curtimento;9;0;2023-03-13 15:28:45
Trabalhador de Fabricação de Calçados e Artefatos de Couro;158;0,0003;2023-03-13 15:28:45
Trabalhador de Fabricação de Papel e Papelão;20;0;2023-03-13 15:28:45
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);65;0,0001;2023-03-13 15:28:45
Trabalhador de Fabricação de Produtos de Borracha e Plástico;24;0;2023-03-13 15:28:45
Trabalhador de Fabricação de Roupas;286;0,0006;2023-03-13 15:28:45
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;211;0,0004;2023-03-13 15:28:45
Trabalhador de Fabricação, Vulcanização e Reparação de Pneumáticos;23;0;2023-03-13 15:28:45
Trabalhador de Hotelaria;54;0,0001;2023-03-13 15:28:45
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;53;0,0001;2023-03-13 15:28:45
Trabalhador de Tratamento de Fumo e de Fabricação de Cigarros/Charutos;3;0;2023-03-13 15:28:45
Trabalhador de Usinagem de Metais;57;0,0001;2023-03-13 15:28:45
Trabalhador em Atividade de Processamento Químico;29;0,0001;2023-03-13 15:28:45
Tradutor, Intérprete e Filólogo;6;0;2023-03-13 15:28:45
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;795;0,0016;2023-03-13 15:28:45
Técnico Têxtil;20;0;2023-03-13 15:28:45
Técnico de Biologia;17;0;2023-03-13 15:28:45
