Ocupação;Quantitativo;Porcentagem;Data de carga
Outros;119332;0,214;2024-09-30 11:01:17
Padeiro, Confeiteiro e Assemelhados;1267;0,0023;2024-09-30 11:01:17
Paramédico;4;0;2024-09-30 11:01:17
Pecuarista;1614;0,0029;2024-09-30 11:01:17
Pedagogo;2994;0,0054;2024-09-30 11:01:17
Pescador;2805;0,005;2024-09-30 11:01:17
Petroleiro;24;0;2024-09-30 11:01:17
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;39;0,0001;2024-09-30 11:01:17
Policial Civil;907;0,0016;2024-09-30 11:01:17
Policial Militar;3607;0,0065;2024-09-30 11:01:17
Porteiro de Edifício, Ascensorista, Garagista e Zelador;840;0,0015;2024-09-30 11:01:17
Prefeito;2241;0,004;2024-09-30 11:01:17
Produtor Agropecuário;3027;0,0054;2024-09-30 11:01:17
Produtor de Espetáculos Públicos;308;0,0006;2024-09-30 11:01:17
Professor de Ensino Fundamental;12632;0,0227;2024-09-30 11:01:17
Professor de Ensino Médio;8894;0,0159;2024-09-30 11:01:17
Professor de Ensino Superior;1548;0,0028;2024-09-30 11:01:17
Professor e Instrutor de Formação Profissional;1662;0,003;2024-09-30 11:01:17
Programador de Computador;65;0,0001;2024-09-30 11:01:17
Protético;155;0,0003;2024-09-30 11:01:17
Psicólogo;1049;0,0019;2024-09-30 11:01:17
Publicitário;624;0,0011;2024-09-30 11:01:17
Químico;105;0,0002;2024-09-30 11:01:17
Recepcionista;1003;0,0018;2024-09-30 11:01:17
Relações-Públicas;113;0,0002;2024-09-30 11:01:17
Relojoeiro e Montador de Instrumento de Precisão;28;0,0001;2024-09-30 11:01:17
Representante Comercial;1824;0,0033;2024-09-30 11:01:17
Sacerdote ou Membro de Ordem ou Seita Religiosa;919;0,0016;2024-09-30 11:01:17
Salva-Vidas;32;0,0001;2024-09-30 11:01:17
Secretário e Datilógrafo;942;0,0017;2024-09-30 11:01:17
Securitário;53;0,0001;2024-09-30 11:01:17
Senador;2;0;2024-09-30 11:01:17
Serralheiro;795;0,0014;2024-09-30 11:01:17
Serventuário de Justiça;139;0,0002;2024-09-30 11:01:17
Servidor Público Civil Aposentado;1525;0,0027;2024-09-30 11:01:17
Servidor Público Estadual;5577;0,01;2024-09-30 11:01:17
Servidor Público Federal;1424;0,0026;2024-09-30 11:01:17
Servidor Público Municipal;35487;0,0636;2024-09-30 11:01:17
Servidor da Justiça Eleitoral;10;0;2024-09-30 11:01:17
Sociólogo;115;0,0002;2024-09-30 11:01:17
Supervisor, Inspetor e Agente de Compras e Vendas;630;0,0011;2024-09-30 11:01:17
Tabelião;62;0,0001;2024-09-30 11:01:17
Tapeceiro;122;0,0002;2024-09-30 11:01:17
Taxista;1818;0,0033;2024-09-30 11:01:17
Telefonista;133;0,0002;2024-09-30 11:01:17
Terapeuta;220;0,0004;2024-09-30 11:01:17
Torneiro Mecânico;187;0,0003;2024-09-30 11:01:17
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;85;0,0002;2024-09-30 11:01:17
Trabalhador Florestal;68;0,0001;2024-09-30 11:01:17
Trabalhador Metalúrgico e Siderúrgico;347;0,0006;2024-09-30 11:01:17
Trabalhador Rural;8596;0,0154;2024-09-30 11:01:17
Trabalhador de Artes Gráficas;72;0,0001;2024-09-30 11:01:17
Trabalhador de Construção Civil;4005;0,0072;2024-09-30 11:01:17
Trabalhador de Curtimento;4;0;2024-09-30 11:01:17
Trabalhador de Fabricação de Calçados e Artefatos de Couro;150;0,0003;2024-09-30 11:01:17
Trabalhador de Fabricação de Papel e Papelão;15;0;2024-09-30 11:01:17
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);49;0,0001;2024-09-30 11:01:17
Trabalhador de Fabricação de Produtos de Borracha e Plástico;20;0;2024-09-30 11:01:17
Trabalhador de Fabricação de Roupas;265;0,0005;2024-09-30 11:01:17
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;239;0,0004;2024-09-30 11:01:17
Trabalhador de Fabricação, Vulcanização e Reparação de Pneumáticos;14;0;2024-09-30 11:01:17
Trabalhador de Hotelaria;54;0,0001;2024-09-30 11:01:17
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;48;0,0001;2024-09-30 11:01:17
Trabalhador de Tratamento de Fumo e de Fabricação de Cigarros/Charutos;10;0;2024-09-30 11:01:17
Trabalhador de Usinagem de Metais;47;0,0001;2024-09-30 11:01:17
Trabalhador em Atividade de Processamento Químico;17;0;2024-09-30 11:01:17
Tradutor, Intérprete e Filólogo;30;0,0001;2024-09-30 11:01:17
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;955;0,0017;2024-09-30 11:01:17
Técnico Têxtil;16;0;2024-09-30 11:01:17
Técnico de Biologia;12;0;2024-09-30 11:01:17
Técnico de Eletricidade, Eletrônica e Telecomunicações;948;0,0017;2024-09-30 11:01:17
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);4688;0,0084;2024-09-30 11:01:17
Técnico de Laboratório e Raios X;455;0,0008;2024-09-30 11:01:17
Técnico de Mecânica;228;0,0004;2024-09-30 11:01:17
Técnico de Mineração, Metalurgia e Geologia;87;0,0002;2024-09-30 11:01:17
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;418;0,0007;2024-09-30 11:01:17
Técnico de Química;94;0,0002;2024-09-30 11:01:17
Técnico em Agronomia e Agrimensura;645;0,0012;2024-09-30 11:01:17
Técnico em Edificações;178;0,0003;2024-09-30 11:01:17
Técnico em Informática;525;0,0009;2024-09-30 11:01:17
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;4526;0,0081;2024-09-30 11:01:17
Vendedor de Comércio Varejista e Atacadista;5414;0,0097;2024-09-30 11:01:17
Vereador;24769;0,0444;2024-09-30 11:01:17
Veterinário;656;0,0012;2024-09-30 11:01:17
Vigilante;4733;0,0085;2024-09-30 11:01:17
Zootecnista;86;0,0002;2024-09-30 11:01:17
