Ocupação;Quantitativo;Porcentagem;Ano
FOTOGRAFO E TRABALHADOR ASSEMELHADO;20;0,001;2002
FRENTISTA;1;0,0001;2002
FUNILEIRO;1;0,0001;2002
GARCOM;12;0,0006;2002
GARI OU LIXEIRO;1;0,0001;2002
GARIMPEIRO;4;0,0002;2002
GEOFISICO;1;0,0001;2002
GEOGRAFO;7;0,0004;2002
GEOLOGO;12;0,0006;2002
GERENTE;47;0,0024;2002
GUARDADOR DE VEICULOS;1;0,0001;2002
HISTORIADOR;5;0,0003;2002
INDUSTRIAL;59;0,003;2002
JARDINEIRO;3;0,0002;2002
JOALHEIROS E OURIVES;6;0,0003;2002
JORNALEIRO;2;0,0001;2002
JORNALISTA E REDATOR;210;0,0106;2002
LANTERNEIRO E PINTOR DE VEICULOS;5;0,0003;2002
LEILOEIRO, AVALIADOR E ASSEMELHADOS;2;0,0001;2002
LEITURISTA;1;0,0001;2002
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;165;0,0083;2002
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;1;0,0001;2002
MATEMATICO E ATUARIO;2;0,0001;2002
MECANICO DE MANUTENCAO;54;0,0027;2002
MEDICO;857;0,0432;2002
MEMBRO DAS FORCAS ARMADAS;76;0,0038;2002
MEMBRO DO MINISTERIO PUBLICO;15;0,0008;2002
MESTRE E CONTRAMESTRE DE EMBARCACAO;1;0,0001;2002
MILITAR REFORMADO;171;0,0086;2002
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;2;0,0001;2002
MODELO;1;0,0001;2002
MONTADOR DE MAQUINAS;4;0,0002;2002
MOTOBOY;7;0,0004;2002
MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;130;0,0066;2002
MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;53;0,0027;2002
MUSICO;34;0,0017;2002
NUTRICIONISTA E TRABALHADOR ASSEMELHADO;6;0,0003;2002
OCUPANTE DE CARGO EM COMISSAO;14;0,0007;2002
ODONTOLOGO;107;0,0054;2002
OPERADOR DE APARELHOS DE PRODUCAO INDUSTRIAL;12;0,0006;2002
OPERADOR DE COMPUTADOR;15;0,0008;2002
OPERADOR DE EQUIP DE RADIO TELEV E DE SONORIZACAO E PROJECOES CINEMAT;4;0,0002;2002
OPERADOR DE EQUIPAMENTO MEDICO E ODONTOLOGICO;2;0,0001;2002
OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUARIA E EXPLORACAO FLORESTAL;1;0,0001;2002
OPERADOR DE INSTALACAO DE PRODUCAO DE ENERGIA ELETRICA E NUCLEAR;2;0,0001;2002
PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;5;0,0003;2002
PARAMEDICO;3;0,0002;2002
PECUARISTA;138;0,007;2002
PEDAGOGO;58;0,0029;2002
PESCADOR;5;0,0003;2002
PETROLEIRO;11;0,0006;2002
PILOTO DE AVIACAO COMERCIAL, NAVEGADOR, MECANICO DE VOO E ASSEMELHADOS;7;0,0004;2002
POLICIAL CIVIL;112;0,0056;2002
POLICIAL MILITAR;399;0,0201;2002
PORTEIRO DE EDIFICIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR;15;0,0008;2002
PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;12;0,0006;2002
PRODUTOR AGROPECUARIO;60;0,003;2002
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;884;0,0446;2002
PROFESSOR DE ENSINO SUPERIOR;298;0,015;2002
PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL;58;0,0029;2002
PROGRAMADOR DE COMPUTADOR;8;0,0004;2002
PROTETICO;15;0,0008;2002
PSICOLOGO;38;0,0019;2002
PUBLICITARIO;73;0,0037;2002
QUIMICO;8;0,0004;2002
RELACOES PUBLICAS;17;0,0009;2002
