Ocupação;Quantitativo;Porcentagem;Data de carga
Serventuário de Justiça;16;0,0006;2021-06-23 18:50:53
Servidor Público Civil Aposentado;112;0,0043;2021-06-23 18:50:53
Servidor Público Estadual;989;0,0378;2021-06-23 18:50:53
Servidor Público Federal;494;0,0189;2023-10-19 16:17:44
Servidor Público Municipal;590;0,0226;2021-06-23 18:50:53
Sociólogo;33;0,0013;2021-06-23 18:50:53
Supervisor, Inspetor e Agente de Compras e Vendas;33;0,0013;2021-06-23 18:50:53
Tabelião;4;0,0002;2021-06-23 18:50:53
Tapeceiro;2;0,0001;2021-06-23 18:50:53
Taxista;75;0,0029;2021-06-23 18:50:53
Telefonista;18;0,0007;2021-06-23 18:50:53
Terapeuta;19;0,0007;2021-06-23 18:50:53
Torneiro Mecânico;7;0,0003;2021-06-23 18:50:53
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;7;0,0003;2021-06-23 18:50:53
Trabalhador Florestal;1;0;2021-06-23 18:50:53
Trabalhador Metalúrgico e Siderúrgico;18;0,0007;2023-10-19 16:17:44
Trabalhador Rural;25;0,001;2021-06-23 18:50:53
Trabalhador de Artes Gráficas;3;0,0001;2021-06-23 18:50:53
Trabalhador de Construção Civil;57;0,0022;2021-06-23 18:50:53
Trabalhador de Fabricação de Calçados e Artefatos de Couro;1;0;2021-06-23 18:50:53
Trabalhador de Fabricação de Roupas;11;0,0004;2021-06-23 18:50:53
Trabalhador de Hotelaria;2;0,0001;2021-06-23 18:50:53
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;1;0;2021-06-23 18:50:53
Trabalhador de Usinagem de Metais;1;0;2021-06-23 18:50:53
Trabalhador em Atividade de Processamento Químico;3;0,0001;2021-06-23 18:50:53
Tradutor, Intérprete e Filólogo;2;0,0001;2021-06-23 18:50:53
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;81;0,0031;2021-06-23 18:50:53
Técnico Têxtil;1;0;2021-06-23 18:50:53
Técnico de Biologia;1;0;2021-06-23 18:50:53
Técnico de Eletricidade, Eletrônica e Telecomunicações;41;0,0016;2021-06-23 18:50:53
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);95;0,0036;2021-06-23 18:50:53
Técnico de Laboratório e Raios X;23;0,0009;2021-06-23 18:50:53
Técnico de Mecânica;9;0,0003;2021-06-23 18:50:53
Técnico de Mineração, Metalurgia e Geologia;1;0;2021-06-23 18:50:53
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;10;0,0004;2021-06-23 18:50:53
Técnico de Química;3;0,0001;2021-06-23 18:50:53
Técnico em Agronomia e Agrimensura;17;0,0006;2021-06-23 18:50:53
Técnico em Edificações;10;0,0004;2021-06-23 18:50:53
Técnico em Informática;30;0,0011;2021-06-23 18:50:53
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;173;0,0066;2021-06-23 18:50:53
Vendedor de Comércio Varejista e Atacadista;151;0,0058;2021-06-23 18:50:53
Vereador;1078;0,0412;2021-06-23 18:50:53
Veterinário;29;0,0011;2021-06-23 18:50:53
Vigilante;124;0,0047;2021-06-23 18:50:53
Zootecnista;3;0,0001;2021-06-23 18:50:53
